primary,description,context,synonyms,supporting,type_of,sibling,hard_negatives,easy_negatives,exclusions,locale,industry,confidence
Concierge Staff,"Assists guests with local recommendations, bookings, and arrangements outside standard front-desk tasks.","","concierge; guest concierge; lobby concierge","local knowledge and recommendations; reservation booking; transportation arrangement; customer service; problem solving","","Front Desk Agent; Guest Relations Host","Front Desk Agent; Guest Relations Host; Event Host","Bar Back; Landscaping","",en,hospitality/front-office,guess
Banquet and Event F&B Supervisor,"Oversees food and beverage staff and execution for banquets and events.","","banquet supervisor; event F&B supervisor; function supervisor","staff scheduling; event execution oversight; vendor coordination; F&B service standards; escalation handling","F&B Supervisor","Banquet Server","Banquet Server; Front Desk Agent; Event Runner","Landscaping; Room Attendant","",en,hospitality/events,guess
Housekeeper,"Cleans and maintains guest rooms and hotel areas to hospitality housekeeping standards.","","housekeeping staff; room cleaner; housekeeping attendant","room cleaning standards; linen handling; inventory and supplies management; time management; attention to detail","","Room Attendant","Cleaner; Room Attendant; Landscaping","Bartender; Front Desk Agent","",en,hospitality/housekeeping,guess
Cleaner,"Performs general cleaning and sanitation duties across a facility, not specific to hospitality standards.","","cleaning staff; janitor; custodian","general cleaning; sanitation standards; chemical handling and safety; time management","","Housekeeper","Housekeeper; Room Attendant; Laundry Worker","Sommelier; Front Desk Agent","Room Attendant",en,hospitality/housekeeping,guess
Landscaping,"Maintains outdoor grounds, gardens, and landscaping for a property.","","groundskeeper; gardener; landscape maintenance","lawn and garden maintenance; irrigation systems; plant care; outdoor equipment operation","","","Cleaner; Room Attendant; Event Set-up Crew","Barista; Front Desk Agent","",en,hospitality/facilities,guess
Room Attendant,"Turns over guest rooms between stays and restocks in-room amenities such as the minibar.","","room turnover attendant; minibar attendant; guest room attendant","room turnover procedures; minibar restocking; linen handling; guest privacy and discretion","","Housekeeper","Housekeeper; Cleaner; Bar Back","Sommelier; Front Desk Agent","Cleaner",en,hospitality/housekeeping,guess
Bar Back,"Supports bartenders by restocking supplies, managing ice and glassware, and keeping the bar area clean.","","bar support; bartender assistant; bar runner","stock restocking; glassware and ice management; cleaning bar area; supporting bartender workflow","","Bartender","Bartender; Room Attendant; Event Runner","Sommelier; Landscaping","Bartender",en,hospitality/F&B,guess
Models,"Represents a brand or event through appearance and guest interaction at promotional functions.","","promotional model; event model; brand ambassador (model)","presentation and poise; brand representation; guest interaction; photo readiness","","Event Host","Event Host; Guest Relations Host; Waitstaff","Landscaping; Cleaner","",en,hospitality/events,guess
Event Host,"Welcomes and guides guests at an event, supporting event flow and announcements.","","event hostess; MC support; event greeter","guest welcoming; event flow coordination; customer service; public speaking and announcements","","Models; Guest Relations Host","Models; Guest Relations Host; Front Desk Agent","AV Stagehand; Landscaping","",en,hospitality/events,guess
Event Set-up Crew,"Builds and arranges furniture, staging, and signage ahead of an event.","","event setup staff; function setup crew; event build crew","furniture and equipment setup; staging assembly; signage placement; physical stamina and lifting","","Event Runner","Event Runner; AV Stagehand; Landscaping","Sommelier; Front Desk Agent","",en,hospitality/events,guess
Event Runner,"Provides on-the-fly logistics support during an event, relaying requests between staff and supervisors.","","event floor runner; function runner; event support staff","on-the-fly logistics support; communication with event supervisors; physical stamina; multitasking","","Event Set-up Crew; Banquet Server","Event Set-up Crew; Banquet Server; Bar Back","Sommelier; Landscaping","",en,hospitality/events,guess
AV Stagehand,"Sets up and troubleshoots audio-visual and staging equipment for events and productions.","","stagehand; AV technician assistant; production crew; production assistant","audio/visual equipment setup; stage and rigging assembly; troubleshooting AV issues; cable management","","Event Set-up Crew","Event Set-up Crew; Event Runner","Sommelier; Cleaner","",en,hospitality/events,guess
